,Heart,Valve,Ventricle,Atrium,Osteoblast,Adipocyte,Stromal cell,Chondrocyte,Bone marrow,Adipose,Colon mucosa,Gastric epithelial cell,Hepatic stellate cell,Hepatocyte,Alpha cell,Colon,Esophagus,Beta cell,Liver,Intestinal epithelial cell,Pancreatic islet,Small intestine,Tlymphocyte,Plasma cell,Blymphocyte,Spleen,Kupffer cell,Dendritic cell,Plasmacytoid dendritic cell,Macrophage,Thymus,Neutrophil,Microglia,Thymocyte,Granulocyte,Melanocyte,Fibroblast,Keratinocyte,Skin,Basal cell,Hair follicle,Vascular smooth muscle,Myofibroblast,Myoblast,Airway smooth muscle,Skeletal muscle,Oligodendrocyte,Astrocyte,Neuron,Medulla,Pons,Motor neuron,Sensory neuron,Midbrain,Hypothalamus,Cerebral cortex,Thalamus,Retina,Spinal cord,Cerebellum,Lung epithelial cell,Lung,Trachea,Podocyte,Granulosa,Oocyte,Kidney,Mammary gland,Ovary,Breast,Testis,Renal cortex
NOB1,8.73498,9.40404,7.30561,7.17906,8.85952,8.32102,8.84732,9.11669,8.60063,7.6925,8.53721,9.39009,8.95343,8.62905,6.70196,9.17755,8.96603,7.42253,8.46109,8.55172,4.26947,7.33897,9.714,8.22586,10.1381,8.85597,8.49192,8.20466,8.47936,8.24738,8.50314,8.30332,7.27416,9.04961,5.99223,9.22507,8.86348,9.64134,8.93279,9.07601,8.49968,8.94132,9.04999,8.90075,8.89501,8.03713,7.31085,8.03109,7.52411,7.62683,8.46608,7.63847,7.78955,7.2636,7.49163,7.47879,7.51341,7.66684,6.64224,5.98306,10.1025,9.14276,9.30789,8.69932,10.3803,10.301,9.08045,8.99122,9.31525,9.29283,7.66095,7.13758
NRM,6.13094,7.47945,5.25971,4.51736,7.17174,5.51459,6.67824,6.53965,6.3224,4.84279,6.66205,7.20344,7.15725,5.59303,0.113644,6.48238,8.23044,5.44176,5.5331,2.85026,0.113644,4.67269,7.4111,0.113644,7.81103,7.09227,5.78233,7.56734,8.18058,7.66804,7.1656,8.06116,6.84182,6.60849,8.4396,7.14836,7.03818,7.06978,6.79623,6.72749,6.8338,6.78736,7.25126,6.62962,6.53965,4.67269,6.85317,7.19032,6.71195,5.37571,6.72289,6.83834,5.61397,4.16691,4.31312,6.89923,3.89584,5.7177,2.77595,1.20968,7.66284,6.91696,6.01703,7.65305,5.79185,3.89584,6.75783,6.93041,6.14657,7.14836,5.07842,3.05618
NUP62,8.73712,9.2405,8.47702,8.85467,9.45645,8.51653,9.18419,9.27476,9.46706,8.87813,9.65186,9.91871,9.46423,9.17908,9.13826,9.86628,10.1944,9.39483,9.18212,8.81763,8.68093,9.33719,10.5364,9.59445,10.8424,9.87578,8.87473,10.8815,10.8824,10.5205,9.91458,9.86537,9.83927,10.1316,8.97847,9.78616,9.54912,9.6997,9.4615,9.15714,9.23658,9.00801,9.68624,9.4297,9.00523,9.15057,9.148,9.49743,9.4615,9.22603,9.67269,9.27441,9.15856,9.3242,9.39483,10.0633,9.44557,8.97962,8.52491,8.05298,10.7564,10.0191,8.95343,10.4306,10.2763,10.7284,9.87578,9.82876,9.98797,9.99735,9.94556,8.55299
NUSAP1,6.50485,5.07842,4.16691,4.88658,8.45951,5.59303,7.58896,7.9323,9.22507,5.25971,9.37607,10.1048,7.12679,6.77744,3.39116,9.47486,10.5067,6.55607,7.05535,7.65386,3.9543,7.54135,9.72488,8.48608,11.2685,8.21284,6.74293,6.90917,7.4111,7.30561,10.3269,6.18762,8.54454,10.5001,7.43768,8.33295,8.69555,9.01157,8.21284,8.75627,7.75455,7.63847,8.76223,8.4817,5.99799,7.40438,9.411,9.00084,8.69269,7.87455,6.72289,7.99022,3.48123,5.2338,4.26947,9.29086,3.83218,7.01742,2.92457,2.92457,10.7755,9.23621,7.88005,10.6198,8.55726,9.56961,9.92094,10.2307,8.61561,10.2399,9.58832,5.41993
ORC1,3.56825,3.05618,2.61696,2.92457,5.91845,4.16691,5.28658,4.99416,6.9462,3.28517,6.65755,6.70463,5.34282,4.59911,3.05618,6.82306,6.9462,4.87314,4.11061,4.67267,0.113644,3.9543,7.37647,5.40837,8.80461,5.88569,4.41314,5.5514,5.4302,5.59303,7.08103,4.74622,4.77752,7.81817,6.3239,6.54985,6.09783,6.95675,5.59303,5.27315,4.47438,5.28658,5.84343,6.06605,3.56825,2.77595,5.91845,5.88569,5.34282,4.13876,4.84279,5.02256,3.1737,2.99037,3.39116,5.59226,3.39116,4.21911,2.61696,3.70787,8.73498,6.57131,5.07842,8.05706,7.08506,8.5212,7.0963,7.32673,6.45202,7.24729,6.51095,3.86401
PABPC1,12.2811,12.9641,11.4046,11.1541,13.4769,12.4521,12.9279,13.2267,13.5332,12.7242,13.0496,13.4947,13.4898,12.795,10.8533,13.8536,13.6465,12.777,12.683,12.7792,11.6669,12.9883,14.654,13.286,14.4505,13.8301,12.5951,14.1126,14.4505,13.2097,14.1052,13.3523,13.5422,15.308,12.2656,13.4898,13.286,13.9811,13.4468,13.8301,13.6667,13.6565,13.1421,12.8088,13.7839,10.6019,13.4553,13.2097,12.6628,13.2506,13.9547,12.675,12.6467,12.2573,13.1266,12.7513,13.0046,12.4055,12.6628,11.2038,13.4026,13.516,13.2647,13.719,13.2507,13.01,13.23,14.3981,13.3006,14.1764,13.9218,12.4538
PCNA,9.85755,9.03736,8.31511,7.94573,9.7161,9.0923,9.486,9.29087,9.74428,7.36026,10.3266,10.7636,9.62546,8.77292,8.46109,10.4188,10.5183,9.17884,9.04138,8.92409,8.03109,9.17908,10.7551,8.78132,11.3703,9.63581,8.97675,8.61253,8.78855,8.94132,9.82236,8.52491,8.99037,10.5025,8.77712,10.4776,9.93988,10.2887,9.68444,9.37537,8.91465,9.59657,10.1431,9.50903,9.34152,8.13314,9.77081,9.94145,9.4341,8.88613,8.71085,8.78132,6.75783,7.78862,8.06575,9.08757,8.06575,9.99735,6.77744,6.35023,12.1607,10.183,9.54344,11.7407,10.5457,12.536,10.3784,10.8555,9.83568,10.8155,9.93405,7.2636
PFAS,7.17515,7.52206,6.60267,7.63911,8.37056,7.9278,7.85883,7.76713,8.9198,7.39734,8.15549,7.69725,8.29646,7.78223,6.79623,8.35624,8.0758,7.40438,7.58896,6.46263,7.28786,7.28786,8.72465,8.42438,10.0114,8.29646,7.51099,7.93315,8.96272,7.49889,8.54329,7.61504,8.63486,8.48608,7.71533,9.43788,8.35972,8.30332,7.99022,7.52174,7.90229,7.9278,8.34775,8.66182,7.13293,7.82916,8.84482,8.71085,8.5761,8.27579,8.03713,8.6516,8.56328,8.34567,7.64512,9.4435,7.64512,7.94538,7.71533,7.24729,9.80129,8.61549,7.00003,9.29283,7.73222,6.9657,9.15932,8.48508,8.32748,8.30694,8.31853,8.32041
PFN1,11.1544,12.3882,11.0258,10.7347,13.2541,11.9806,12.5238,12.0025,12.1595,10.5864,12.7549,13.1009,13.3599,12.589,10.2838,13.1578,13.4987,10.3315,12.3272,12.0829,10.4005,11.9948,13.4226,10.2564,13.2369,13.286,12.5056,13.2437,13.3522,13.2647,12.6138,13.6465,12.431,12.3212,12.9228,12.8779,12.8608,13.4144,12.4622,12.0215,12.2491,12.8852,13.3908,12.3913,12.3977,10.5967,10.5247,11.9011,10.8999,11.7396,12.3603,10.7809,11.7657,10.8608,11.9709,10.5427,11.9235,10.3975,10.3677,7.73975,13.8009,12.983,12.6628,13.8181,11.8847,11.4912,12.5099,12.5668,12.1062,12.8902,10.5796,11.1909
PLK1,5.28658,4.9151,3.9543,4.38682,8.17564,4.93037,6.87612,6.64293,7.21826,4.51527,8.24762,9.01142,7.65305,5.18213,3.1737,8.75978,8.42795,5.96743,5.15699,6.66154,1.20968,5.72615,7.40438,5.49388,9.65693,6.45202,4.49832,5.72615,5.85482,6.2249,7.62064,5.65482,7.07337,7.89585,6.51095,8.26409,7.96015,8.97562,6.83834,7.07696,6.44668,6.93534,7.64908,7.54135,5.15699,4.21911,8.25034,7.89585,7.10033,5.74882,5.74381,6.77744,4.21911,5.10633,4.47438,7.21655,4.99416,5.25971,3.64478,4.56034,10.7792,8.24342,6.50485,9.4951,8.89827,9.76853,8.71085,9.26448,8.19063,9.92517,8.64106,3.39116
POC1A,4.26947,4.11061,3.70787,3.17067,6.46517,5.04875,5.67402,5.12981,4.16691,4.11061,6.87509,7.07871,6.41035,5.5514,0.113644,6.9462,7.23213,3.33816,5.5514,5.25971,0.113644,3.9543,6.74966,0.113644,7.89087,5.38652,4.94657,5.61397,6.13875,5.90239,5.76633,4.84279,4.67269,6.33362,5.91042,6.74922,6.52893,7.28786,5.31558,5.93591,4.81015,5.70924,6.68409,5.91845,5.18213,3.05618,5.81111,5.93591,4.93037,3.64478,4.59911,4.05534,5.45333,3.64478,3.48123,5.34747,3.48123,3.56825,2.61696,1.20968,7.80811,6.36501,5.96743,7.58896,6.70013,7.14836,6.72289,7.28786,6.66154,7.41835,7.27051,2.85026
POLD1,5.99799,7.00003,5.63312,4.88649,7.95267,6.48238,7.02366,7.3468,7.1938,4.80976,8.3764,8.38887,7.48542,7.72192,0.113644,8.58424,8.60695,6.35762,6.75783,5.65357,0.113644,6.48238,8.98773,0.113644,9.79915,8.23902,6.8792,9.00801,9.12689,8.23044,8.30491,7.91821,7.17515,7.75317,7.67084,8.67889,7.43403,8.57032,7.27416,7.03871,7.64581,6.83834,7.71098,7.37647,6.78736,6.33362,7.557,7.57981,6.9462,8.17075,7.72768,5.91845,6.61965,5.88569,6.4358,8.3756,6.30103,6.04217,6.09783,4.84279,10.0164,8.27953,6.8903,9.66533,8.69486,8.57032,8.65503,8.62092,8.97336,8.90451,7.46655,6.52835
PTBP1,9.78113,11.3002,9.56053,9.91966,11.69,10.5967,11.1028,11.3357,10.3826,10.5985,11.6861,11.7163,11.6422,11.3594,9.61085,11.8287,11.0228,10.4888,10.9905,10.5465,9.12937,11.4421,12.1356,9.93827,12.0035,11.5313,11.1136,11.3118,11.5984,11.0367,11.4991,10.9505,9.86538,11.782,10.4292,11.8249,11.3531,12.0292,11.4029,11.5498,11.0237,11.3684,11.5786,10.3227,11.2278,9.31882,11.2038,11.4602,10.1968,11.7085,11.2111,9.0923,7.87338,8.91159,10.7148,10.7462,10.61,9.7429,9.9367,8.43746,12.0214,11.6106,11.1285,12.3153,11.7067,11.5049,11.8624,11.7706,11.6137,11.7567,10.3555,11.3823
PTTG1,7.82526,5.52264,3.28517,2.99037,7.98112,5.70924,7.85883,7.65794,7.96015,3.1737,9.10087,7.99545,7.36331,4.77752,2.92457,8.64827,9.50579,6.57163,4.80976,7.35258,0.113644,5.63312,8.85952,7.60901,9.99397,7.9278,4.6521,6.13094,6.57131,6.79623,8.49627,5.57065,6.41035,9.00801,4.78626,9.20504,8.50551,9.13346,7.89087,8.37838,6.55013,7.64512,8.47388,8.69555,5.93591,3.05618,8.20466,8.01669,7.88005,8.86132,5.82639,7.00978,4.16691,3.86401,4.56034,7.3789,4.05534,5.86456,1.81287,1.20968,10.2655,9.05898,8.55124,9.09642,9.08031,10.8621,8.79012,8.8615,8.56131,9.55323,9.35467,3.28517
RACK1,13.516,13.1421,12.4572,12.5316,13.3115,13.2647,13.2683,13.1453,13.8418,12.6933,14.1052,14.0357,13.6465,13.1204,11.7093,13.8067,13.516,12.9458,12.675,13.1933,13.01,13.2506,14.1442,13.6565,14.1764,13.5692,12.3245,12.8369,13.6667,12.4199,13.9547,12.9614,12.4007,13.7407,10.527,13.7621,13.4726,13.8901,13.719,13.3262,12.9535,13.4065,13.4855,13.8536,13.6362,12.8803,13.286,13.4144,13.516,13.013,13.607,13.7513,12.3882,12.635,12.7414,13.0814,12.3819,13.2369,11.8624,10.6198,13.9413,13.6978,13.6666,13.7729,13.5739,12.8755,14.0088,14.1126,14.0744,14.0088,12.3286,12.9695
RAD51,4.96278,3.76961,3.05618,3.56825,6.54449,4.63537,5.98306,5.31558,7.38198,4.89983,6.50854,6.85254,6.13094,4.43111,3.83218,6.9462,7.36331,4.85797,4.00388,5.15699,2.92457,4.56034,7.33029,6.53965,8.60525,6.09783,4.13667,5.18213,5.58395,5.63312,6.82687,4.43111,5.84343,7.54934,5.44176,6.47324,6.56004,7.16288,5.81111,5.7177,5.40912,5.81111,6.24886,6.18762,5.02256,3.9543,5.20789,5.79561,4.89983,4.4755,4.71212,4.80976,4.31312,2.92457,3.05618,5.09814,2.77595,3.89584,2.41968,3.39116,7.69964,6.70196,5.49388,6.9657,7.38391,8.58717,6.95147,7.20762,6.63794,7.67462,7.73413,2.77595
RCC1,7.36331,7.38583,5.90239,5.85482,9.30787,8.3629,9.04961,8.95108,9.35542,7.52741,9.3946,10.1256,9.03285,9.23839,7.4111,9.86056,9.36086,8.10686,8.37638,8.22153,8.28634,6.8903,9.5376,8.69932,10.4695,8.73498,8.27937,8.19977,8.53678,8.16377,8.79132,8.04272,8.02123,9.68221,7.93659,8.7509,9.19975,9.98759,8.97262,9.46545,8.3363,8.79364,9.04377,9.18404,8.5761,7.07696,8.32102,8.47702,7.88005,8.3815,8.46608,7.60901,6.85317,6.71742,7.60281,8.21365,7.50607,7.00978,5.28658,4.38682,10.2776,9.42157,9.0884,9.72488,8.42595,8.61868,9.56796,10.0438,8.77715,9.99735,8.36807,7.57088
RCC2,8.92875,9.85097,8.01669,8.02389,10.6702,9.95727,9.98782,9.26949,10.2098,9.25254,11.3436,11.4522,10.593,9.23621,5.65482,10.8704,10.0171,8.62387,8.89763,9.42016,0.113644,8.78423,10.9505,9.26347,11.6777,9.89648,9.72509,10.6531,10.7925,10.6858,11.1758,10.3193,9.97146,10.5967,7.93905,11.4136,10.108,11.6327,10.6547,11.3888,10.4728,10.5886,10.1836,9.87422,9.66727,7.66804,10.9799,10.7634,10.0919,10.0981,10.3023,10.1263,10.0519,7.90503,9.84363,10.5731,9.84363,9.46706,9.38049,8.6516,10.4877,10.4202,10.9708,11.3348,10.5906,10.7422,10.8425,11.3556,10.9557,11.0292,9.85291,9.40973
REEP4,5.67402,6.96122,5.25971,4.6924,8.20013,6.37631,7.45283,6.80572,6.23741,4.77752,6.50108,8.44392,7.93693,7.13892,7.41835,8.17773,8.8399,6.86236,6.50485,5.92718,0.113644,7.88609,8.05706,0.113644,7.74646,7.7752,7.10199,8.15592,7.93905,8.20466,7.20777,8.4413,7.75625,5.31558,8.48884,8.44627,7.37048,9.15338,8.07033,8.53857,7.57917,7.58896,7.96587,6.58321,7.27416,4.84279,5.5514,6.83834,5.04875,5.25971,7.78955,4.3519,6.05008,3.76961,6.07935,5.08978,6.07935,4.80976,5.65482,2.41968,9.59273,7.99022,8.63669,8.03109,8.07946,7.84148,7.59665,7.95551,7.49889,8.39281,7.09249,4.08298
RFWD3,7.63847,7.39654,6.61965,6.98676,8.71667,7.89087,8.18352,8.13125,9.08045,7.10985,9.29796,9.38545,8.4817,7.88005,7.89585,9.10629,9.26166,8.40614,7.70909,8.19359,7.90918,7.93315,9.73205,8.4916,10.028,9.0884,7.65595,8.8032,8.96399,8.65847,9.4071,8.50395,8.15592,9.92517,8.95856,8.88942,8.63669,9.53006,8.82966,8.97412,8.42795,8.37004,8.53541,8.55418,7.7649,6.46517,8.38486,8.77715,8.16697,8.70832,8.65633,7.97639,7.49163,7.54934,6.99029,8.47037,6.81484,8.21284,6.92548,7.32318,10.1884,9.07729,8.54663,10.0663,7.87121,8.87501,9.29697,9.99916,8.33295,9.59891,9.61102,7.79214
RMI2,3.1737,3.48123,3.56825,2.41968,5.81111,3.83218,4.87314,4.08298,3.80089,2.92457,6.60325,6.65349,5.69219,4.43111,0.113644,6.48238,5.99799,2.38984,4.16691,3.70787,0.113644,3.83218,6.68963,0.113644,7.63021,5.61397,4.67269,6.18762,5.05049,5.45333,7.34325,5.38652,4.74622,7.69953,5.42939,6.67824,5.74381,6.59685,5.49388,6.05008,4.21911,5.90239,5.76088,3.1737,5.95167,2.41968,5.02256,5.4302,4.63537,4.63537,4.05534,3.70787,5.72615,2.16272,2.92457,5.33409,2.77595,3.05618,1.20968,0.113644,7.01672,6.01703,5.57065,7.4111,6.13896,7.04658,6.58321,7.21464,6.46921,6.99029,6.46921,2.41968
RNASEH2A,6.95675,6.23115,5.12981,5.2338,7.53603,6.17424,7.2901,6.71195,8.29312,5.50423,7.79357,7.80014,6.9462,6.23741,6.38743,7.93693,8.77715,6.62179,6.36501,6.25074,6.09783,6.36501,7.75933,7.95551,8.98602,7.76936,5.34747,6.75783,7.25707,6.88087,7.98821,6.51705,7.243,8.43178,6.928,7.96179,7.62734,8.05706,7.07696,7.29945,6.28784,6.41035,7.5939,7.7319,5.69219,5.96743,7.05535,7.19727,7.31657,6.63185,6.74966,7.44713,6.45202,6.28103,6.26032,7.38235,6.05008,6.9754,4.43111,5.40837,9.02648,8.15951,7.10033,8.8243,9.1175,8.85597,8.56892,8.77115,8.36805,8.80701,8.16213,4.74482
RPLP0,14.2458,13.2232,12.9614,13.0726,14.0744,14.0973,14.0377,14.1206,14.5054,13.1834,14.7082,14.503,14.3002,13.7729,12.0181,14.553,14.3002,13.1706,13.4306,13.7352,13.4468,13.6465,15.0775,14.654,15.4168,13.8901,12.9685,12.9883,14.751,12.8134,13.7896,12.8512,12.8803,13.5785,9.89905,14.0818,14.1442,14.5779,14.4399,14.2816,13.5555,14.0669,14.1049,14.3579,14.4612,13.4553,13.9282,13.9811,13.9681,13.3306,14.0088,13.9155,12.9456,13.5555,12.8042,13.5032,12.9883,13.7031,11.9219,9.82698,14.6025,14.2105,14.2636,14.5054,14.5902,14.2636,14.2278,14.736,14.2278,14.654,12.8952,12.8757
RPS2,12.6041,12.9749,12.3376,11.8415,13.5645,13.177,13.2576,13.6072,13.3079,11.8693,14.2368,13.8375,13.8536,12.956,10.7564,14.1936,14.1764,12.5468,12.7725,12.5238,11.2528,13.0612,14.7082,11.7162,14.6409,13.9026,12.1776,12.8559,14.0744,12.6933,13.6718,13.3599,12.7792,13.4987,11.3075,14.1442,13.464,14.4187,13.6666,13.1932,12.8369,13.6565,13.5746,13.3079,13.8779,12.8465,13.6666,13.6666,13.3299,13.5203,13.4553,12.5168,13.8181,12.8112,13.4726,13.7628,13.2933,12.3452,11.8391,9.08539,13.7084,13.8181,13.7297,13.7621,13.968,13.5074,14.1442,14.2909,14.1286,14.0818,12.4756,12.1444
RPS3,13.6263,13.0467,12.4439,12.4689,13.0382,12.7076,13.0382,13.1113,14.3381,13.1834,13.7352,13.543,13.383,12.4622,11.7319,13.9091,14.1764,13.2577,12.4521,12.9026,13.4388,13.4388,14.553,13.7952,14.7959,13.8067,11.7146,12.2423,13.7784,12.1406,13.7298,12.7242,12.2839,13.6873,10.9291,13.4065,13.1964,13.7952,13.5422,13.7952,12.2656,13.1706,12.5247,13.5246,13.19,12.5134,12.0763,12.6272,13.0382,12.0315,13.7729,13.2789,11.9828,12.679,12.9304,12.9405,12.9456,12.9992,11.5809,10.301,13.7896,13.6873,13.5246,13.4065,13.3713,12.7636,13.6465,13.9155,13.9155,13.9155,12.0147,11.5199
